original_size,compressed_size,compression_ratio
7337,3609,0.5081095815728499
6404,2982,0.5343535290443473
3070,1507,0.5091205211726384
4361,2122,0.5134143545058473
8244,3949,0.5209849587578845
2652,1270,0.5211161387631975
3566,1634,0.5417835109366237
5021,2297,0.5425214100776738
6214,1892,0.6955262310910846
637,389,0.3893249607535322
4922,2253,0.5422592442096709
2873,1510,0.4744169857292029
4813,2342,0.5134012050696032
3647,1637,0.5511379215793804
3247,1342,0.5866954111487527
2011,1073,0.4664346096469418
3540,1662,0.5305084745762711
1235,695,0.437246963562753
4532,1940,0.5719329214474845
2589,1185,0.5422943221320973
957,526,0.4503657262277951
2663,1361,0.4889222681186631
3025,1418,0.5312396694214876
2569,1268,0.5064227325807708
1377,769,0.4415395787944808
3447,1695,0.5082680591818973
8266,3642,0.5593999516090007
3267,1553,0.524640342822161
4658,2249,0.517174753112924
9423,4311,0.542502387774594
4441,2155,0.5147489304210764
2991,1368,0.5426278836509528
4338,2085,0.5193637621023512
9817,4116,0.5807273097687684
3597,1835,0.4898526549902696
2502,1229,0.508792965627498
3002,1589,0.4706862091938707
7496,3312,0.5581643543223052
28776,10325,0.6411940505977203
551,370,0.3284936479128857
2466,1198,0.5141930251419302
4827,2220,0.5400870105655686
5576,2764,0.5043041606886658
2129,1043,0.5100986378581494
4065,1656,0.592619926199262
6898,3480,0.4955059437518121
8624,3927,0.5446428571428572
836,502,0.3995215311004785
19198,6866,0.6423585790186478
2863,1277,0.5539643730352777
621,377,0.3929146537842189
1766,942,0.4665911664779162
7390,3628,0.509066305818674
2545,1258,0.5056974459724951
4641,2283,0.5080801551389786
6211,3151,0.492674287554339
3246,1598,0.507701786814541
1091,558,0.4885426214482127
6485,2732,0.5787201233616037
1048,597,0.4303435114503816
6335,3010,0.5248618784530387
6280,3153,0.4979299363057324
4352,2025,0.5346966911764706
10382,4379,0.5782122905027933
2203,1147,0.4793463458919654
2522,1338,0.4694686756542426
7301,3629,0.5029448020819065
603,394,0.3466003316749585
3487,1786,0.4878118726699169
984,594,0.3963414634146341
3515,1627,0.537126600284495
5439,2550,0.5311638168781025
5119,2645,0.4832975190466888
8180,3403,0.5839853300733496
3970,1301,0.6722921914357682
1806,968,0.4640088593576965
4094,1833,0.5522716170004885
10484,4840,0.5383441434566959
843,472,0.4400948991696323
1627,886,0.455439459127228
2632,1298,0.506838905775076
4500,1606,0.6431111111111112
1314,723,0.4497716894977168
7974,3615,0.5466516177577125
13611,5453,0.5993681581074131
6132,2644,0.5688193085453359
12210,4868,0.6013104013104014
2518,1127,0.5524225575853852
4987,2198,0.5592540605574494
4087,1937,0.5260582334230487
6755,2994,0.5567727609178386
747,466,0.3761713520749665
2112,1074,0.4914772727272727
4091,1845,0.5490100219995111
6855,3163,0.5385849744711889
1680,908,0.4595238095238095
17780,7734,0.5650168728908886
4068,1946,0.5216322517207472
2609,1328,0.4909927175162898
5878,2732,0.5352160598843143
2408,1181,0.5095514950166113
6042,2871,0.5248262164846078
12627,5617,0.5551595786806051
4933,2399,0.5136833569835799
4899,2211,0.548683404776485
1899,966,0.4913112164296999
5782,2471,0.572639225181598
5576,2764,0.5043041606886658
7897,3431,0.5655312143852096
9268,3951,0.5736944324557618
2335,1108,0.5254817987152034
4888,2363,0.5165711947626841
1167,614,0.4738646101113967
5170,2412,0.5334622823984526
5691,2756,0.5157265858372869
915,507,0.4459016393442623
8137,3434,0.5779771414526238
2443,1246,0.4899713467048711
6098,2938,0.5182026894063627
2488,1086,0.5635048231511254
30605,10789,0.6474759026302892
2011,946,0.529587270014918
4410,2121,0.519047619047619
7174,3287,0.5418176749372735
8246,4022,0.5122483628425903
5336,1999,0.6253748125937031
4345,1989,0.5422324510932106
1517,816,0.4620962425840474
3658,1690,0.5379989065062876
2551,1360,0.4668757350058801
2845,1149,0.5961335676625659
1039,593,0.4292589027911453
3375,1410,0.5822222222222222
2466,1408,0.4290348742903487
3755,1808,0.518508655126498
3541,1670,0.5283818130471618
1148,679,0.4085365853658537
616,377,0.387987012987013
7292,3263,0.5525233132199671
584,370,0.3664383561643836
27746,11023,0.6027175088301016
723,456,0.3692946058091286
696,425,0.389367816091954
2894,1398,0.5169315825846579
11450,4729,0.5869868995633187
771,480,0.377431906614786
3144,1602,0.4904580152671756
3215,1554,0.5166407465007776
2679,1163,0.5658827920865994
4772,2331,0.5115255658005029
2170,1048,0.5170506912442396
6469,3134,0.5155356314731798
1427,809,0.4330763840224246
7096,3472,0.5107102593010147
952,567,0.4044117647058823
5498,2396,0.5642051655147327
15050,5913,0.607109634551495
1393,727,0.4781048097631012
2644,1371,0.4814674735249622
3710,1772,0.5223719676549865
2014,1019,0.4940417080436942
4886,2401,0.5085959885386819
3511,1774,0.4947308459128453
12314,5811,0.5280980997238915
6303,2881,0.5429160717118833
4307,2170,0.4961690271650801
3672,1811,0.5068082788671024
5999,2879,0.520086681113519
19182,4354,0.7730163695130852
4822,2277,0.527789299046039
3645,1539,0.5777777777777777
9897,4653,0.5298575325856321
966,628,0.3498964803312629
6194,2823,0.5442363577655795
5978,2582,0.5680829708932753
2837,1512,0.4670426506873457
5262,2243,0.5737362219688331
2660,1366,0.4864661654135338
5061,2372,0.5313179213594151
6411,3203,0.5003899547652473
851,523,0.3854289071680375
619,376,0.3925686591276252
17252,7467,0.5671806167400881
4187,2045,0.5115834726534512
5838,2920,0.4998287084618019
8988,3923,0.5635291499777482
