File Name,Original Size (bytes),Compressed Size (bytes)
dailymail_10.txt,4456,2143
dailymail_100.txt,3694,1867
dailymail_1002.txt,867,530
dailymail_1004.txt,671,452
dailymail_1006.txt,640,429
dailymail_1008.txt,559,382
dailymail_1010.txt,665,421
dailymail_1014.txt,705,428
dailymail_1018.txt,516,351
dailymail_102.txt,4552,2287
dailymail_1020.txt,839,498
dailymail_1022.txt,537,370
dailymail_1024.txt,557,401
dailymail_1026.txt,912,560
dailymail_1030.txt,807,510
dailymail_104.txt,2686,1202
dailymail_1040.txt,973,600
dailymail_1046.txt,541,376
dailymail_1052.txt,608,408
dailymail_1054.txt,1059,646
dailymail_1056.txt,619,424
dailymail_1058.txt,793,511
dailymail_106.txt,3324,1683
dailymail_1062.txt,703,453
dailymail_1064.txt,830,546
dailymail_1066.txt,563,399
dailymail_1068.txt,528,366
dailymail_1072.txt,878,541
dailymail_1076.txt,670,426
dailymail_1078.txt,946,540
dailymail_108.txt,7696,3509
dailymail_1080.txt,621,396
dailymail_1082.txt,658,412
dailymail_1084.txt,936,561
dailymail_1088.txt,820,515
dailymail_1090.txt,532,378
dailymail_1094.txt,973,600
dailymail_1096.txt,505,344
dailymail_110.txt,6328,2704
dailymail_1100.txt,843,491
dailymail_1102.txt,646,435
dailymail_1106.txt,839,498
dailymail_1108.txt,523,352
dailymail_1110.txt,680,419
dailymail_1114.txt,643,414
dailymail_112.txt,2231,1145
dailymail_1132.txt,552,392
dailymail_1138.txt,843,491
dailymail_114.txt,1317,775
dailymail_1140.txt,807,510
dailymail_1144.txt,579,369
dailymail_1146.txt,566,400
dailymail_1148.txt,834,530
dailymail_1152.txt,630,402
dailymail_1154.txt,647,422
dailymail_1158.txt,643,414
dailymail_116.txt,3422,1580
dailymail_1162.txt,620,400
dailymail_1164.txt,651,424
dailymail_1166.txt,616,420
dailymail_1168.txt,771,480
dailymail_1170.txt,507,364
dailymail_1174.txt,561,386
dailymail_1176.txt,561,386
dailymail_1178.txt,657,427
dailymail_118.txt,3958,1857
dailymail_1180.txt,1455,811
dailymail_1186.txt,506,352
dailymail_1190.txt,522,372
dailymail_1196.txt,1188,701
dailymail_12.txt,3948,1838
dailymail_120.txt,4888,2381
dailymail_1202.txt,597,408
dailymail_1208.txt,635,407
dailymail_1210.txt,897,553
dailymail_1214.txt,856,528
dailymail_122.txt,3583,1814
dailymail_1222.txt,637,408
dailymail_1228.txt,557,401
dailymail_1232.txt,562,381
dailymail_1234.txt,1065,639
dailymail_1236.txt,638,425
dailymail_124.txt,3281,1708
dailymail_1240.txt,507,364
dailymail_1244.txt,704,478
dailymail_1246.txt,603,413
dailymail_1248.txt,742,460
dailymail_1250.txt,916,498
dailymail_1252.txt,858,524
dailymail_1258.txt,851,542
dailymail_126.txt,3358,1601
dailymail_1264.txt,20726,6469
dailymail_1272.txt,556,393
dailymail_1274.txt,523,354
dailymail_128.txt,3472,1737
dailymail_1280.txt,845,522
dailymail_1282.txt,744,473
dailymail_1284.txt,644,413
dailymail_1288.txt,782,521
dailymail_1290.txt,1225,720
dailymail_1292.txt,846,544
dailymail_1296.txt,513,375
dailymail_130.txt,2687,1273
dailymail_1300.txt,12674,5677
dailymail_1302.txt,11158,4560
dailymail_1304.txt,7192,3390
dailymail_1306.txt,3487,1805
dailymail_1308.txt,6663,2929
dailymail_1310.txt,4324,2131
dailymail_1312.txt,528,366
dailymail_1314.txt,6004,2835
dailymail_1316.txt,6160,2921
dailymail_1318.txt,7841,3655
dailymail_132.txt,3512,1691
dailymail_1320.txt,868,536
dailymail_1322.txt,870,561
dailymail_1324.txt,3788,1860
dailymail_1326.txt,8679,3618
dailymail_1328.txt,8679,3618
dailymail_1330.txt,12895,5703
dailymail_1332.txt,4016,2059
dailymail_1334.txt,572,377
dailymail_1336.txt,8013,3648
dailymail_1338.txt,3103,1252
dailymail_134.txt,3865,1931
dailymail_1340.txt,4221,2175
dailymail_1342.txt,7172,3333
dailymail_1344.txt,647,432
dailymail_1346.txt,8008,3605
dailymail_1348.txt,8038,3921
dailymail_1350.txt,925,545
dailymail_1352.txt,12436,5856
dailymail_1354.txt,7449,3526
dailymail_1356.txt,7449,3526
dailymail_1358.txt,3732,1675
dailymail_136.txt,3774,1767
dailymail_1360.txt,970,591
dailymail_1362.txt,6073,2879
dailymail_1364.txt,5167,2489
dailymail_1366.txt,507,347
dailymail_1368.txt,7503,3460
dailymail_1370.txt,8002,3411
dailymail_1372.txt,689,436
dailymail_1374.txt,6004,2912
dailymail_1376.txt,6004,2912
dailymail_1378.txt,8055,3770
dailymail_138.txt,3980,1763
dailymail_1380.txt,828,523
dailymail_1382.txt,8906,3922
dailymail_1384.txt,4386,2183
dailymail_1386.txt,1120,689
dailymail_1388.txt,7592,3542
dailymail_1390.txt,960,569
dailymail_1392.txt,8888,3966
dailymail_1394.txt,949,584
dailymail_1396.txt,9147,3741
dailymail_1398.txt,1503,838
dailymail_14.txt,2722,1370
dailymail_140.txt,2398,1197
dailymail_1400.txt,6470,2740
dailymail_1402.txt,8566,3850
dailymail_1404.txt,1008,624
dailymail_1406.txt,6592,3068
dailymail_1408.txt,7387,3741
dailymail_1412.txt,5071,2217
dailymail_1416.txt,5645,2618
dailymail_1418.txt,8558,3923
dailymail_142.txt,2273,1058
dailymail_1420.txt,622,435
dailymail_1422.txt,16228,6897
dailymail_1424.txt,3145,1579
dailymail_1428.txt,12110,5733
dailymail_1430.txt,8996,3895
dailymail_1432.txt,8996,3895
dailymail_1434.txt,5078,1866
dailymail_1436.txt,5078,1866
dailymail_1438.txt,8108,3808
dailymail_144.txt,1533,871
dailymail_1440.txt,8108,3808
dailymail_1442.txt,4920,2527
dailymail_1446.txt,14214,6423
dailymail_1448.txt,4685,2307
dailymail_1450.txt,4685,2307
dailymail_1452.txt,8341,3708
dailymail_1456.txt,7429,3345
dailymail_1458.txt,1150,672
dailymail_146.txt,3344,1562
dailymail_1460.txt,2729,1339
dailymail_1464.txt,6958,3328
dailymail_1466.txt,9112,4164
dailymail_1468.txt,8803,4005
dailymail_1470.txt,9289,4487
dailymail_1472.txt,8408,3840
dailymail_1474.txt,7974,3634
dailymail_1476.txt,7464,3344
dailymail_1478.txt,7056,3407
dailymail_148.txt,3658,1587
dailymail_1480.txt,9096,3996
dailymail_1482.txt,808,498
dailymail_1484.txt,2464,1325
dailymail_1486.txt,1761,946
dailymail_1488.txt,1997,981
dailymail_1490.txt,8016,3740
dailymail_1492.txt,10184,4548
dailymail_1494.txt,5339,2455
dailymail_1496.txt,2904,1430
dailymail_1498.txt,2943,1460
dailymail_150.txt,3083,1539
dailymail_1500.txt,6553,3159
dailymail_1502.txt,6087,2964
dailymail_1504.txt,15402,6648
dailymail_1506.txt,15402,6648
dailymail_1508.txt,3382,1641
dailymail_1510.txt,4424,2077
dailymail_1512.txt,6099,2779
dailymail_1514.txt,7037,3379
dailymail_1516.txt,1671,909
dailymail_1518.txt,536,379
dailymail_152.txt,2380,1294
dailymail_1520.txt,3081,1521
dailymail_1522.txt,4291,2203
dailymail_1524.txt,9409,4229
dailymail_1526.txt,13905,6299
dailymail_1528.txt,672,447
dailymail_1530.txt,5688,2766
dailymail_1532.txt,4516,2282
dailymail_1534.txt,3979,1954
dailymail_1536.txt,2347,1298
dailymail_1538.txt,2443,1265
dailymail_154.txt,1692,917
dailymail_1540.txt,14047,6028
dailymail_1542.txt,4257,1954
dailymail_1544.txt,7192,3197
dailymail_1546.txt,7192,3197
dailymail_1548.txt,7655,3589
dailymail_1550.txt,5683,2504
dailymail_1552.txt,2695,1392
dailymail_1554.txt,13417,5972
dailymail_1556.txt,13417,5972
dailymail_1558.txt,3122,1408
dailymail_156.txt,2549,1325
dailymail_1560.txt,7138,3351
dailymail_1562.txt,4905,2240
dailymail_1564.txt,6755,3013
dailymail_1566.txt,6755,3013
dailymail_1568.txt,5566,2555
dailymail_1570.txt,7691,3354
dailymail_1572.txt,6093,2969
dailymail_1574.txt,4162,2057
dailymail_1576.txt,3726,1667
dailymail_1578.txt,5702,2657
dailymail_158.txt,3163,1414
dailymail_1580.txt,1594,877
dailymail_1582.txt,7088,3122
dailymail_1584.txt,5562,2764
dailymail_1586.txt,635,405
dailymail_1588.txt,3929,1913
dailymail_1590.txt,2626,1342
dailymail_1592.txt,11033,4918
dailymail_1594.txt,5007,2422
dailymail_1596.txt,7293,3133
dailymail_1598.txt,3976,2044
dailymail_16.txt,4054,1860
dailymail_160.txt,3984,1848
dailymail_1600.txt,4625,2337
dailymail_1602.txt,9423,4330
dailymail_1604.txt,9423,4330
dailymail_1606.txt,3033,1540
dailymail_1608.txt,5411,2544
dailymail_1610.txt,4088,1989
dailymail_1612.txt,4946,2294
dailymail_1614.txt,4424,2087
dailymail_1616.txt,4353,2083
dailymail_1618.txt,5348,2510
dailymail_162.txt,2352,1133
dailymail_1620.txt,5141,2425
dailymail_1624.txt,2501,1383
dailymail_1626.txt,6973,3427
dailymail_1628.txt,4705,2164
dailymail_1630.txt,6157,2903
dailymail_1632.txt,6157,2903
dailymail_1634.txt,13874,5670
dailymail_1636.txt,3609,1746
dailymail_1638.txt,9102,4072
dailymail_164.txt,2444,1216
dailymail_1640.txt,9102,4072
dailymail_1642.txt,3702,1894
dailymail_1644.txt,5647,2653
dailymail_1646.txt,6897,3173
dailymail_1648.txt,4899,2411
dailymail_1650.txt,4899,2411
dailymail_1652.txt,6403,2774
dailymail_1654.txt,5674,2705
dailymail_1656.txt,5674,2705
dailymail_1658.txt,2907,1518
dailymail_166.txt,7458,2898
dailymail_1660.txt,1885,971
dailymail_1662.txt,1885,971
dailymail_1664.txt,4264,2003
dailymail_1666.txt,3312,1610
dailymail_1668.txt,3312,1610
dailymail_1670.txt,5464,2613
dailymail_1672.txt,3004,1341
dailymail_1674.txt,1704,865
dailymail_1676.txt,1968,1140
dailymail_1678.txt,6745,3291
dailymail_168.txt,3012,1462
dailymail_1680.txt,6745,3291
dailymail_1682.txt,534,338
dailymail_1684.txt,2205,1151
dailymail_1686.txt,7323,3492
dailymail_1688.txt,4306,2105
dailymail_1690.txt,4306,2105
dailymail_1692.txt,4675,2334
dailymail_1694.txt,6521,3069
dailymail_1696.txt,933,561
dailymail_1698.txt,2043,1146
